,url,segment,word,count,bloom_stage
0,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,120-180,끝나다,1,evaluate
1,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,120-180,나다,1,unknown
2,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,120-180,나타내다,1,apply
3,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,120-180,넣다,1,apply
4,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,120-180,늘다,2,evaluate
5,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,120-180,다루다,1,apply
6,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,120-180,돌려주다,1,apply
7,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,120-180,되다,1,create
8,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,120-180,들다,1,unknown
9,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,120-180,들어가다,1,apply
10,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,120-180,배우다,1,understand
11,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,120-180,보다,2,understand
12,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,120-180,부르다,1,unknown
13,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,120-180,불다,1,unknown
14,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,120-180,서다,1,understand
15,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,120-180,알다,1,understand
16,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,120-180,오다,2,unknown
17,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,120-180,이르다,1,unknown
18,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,120-180,주다,1,evaluate
19,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,120-180,주어지다,1,understand
20,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,120-180,크다,3,evaluate
21,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,120-180,하다,10,apply
22,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,120-180,해보다,1,apply
23,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,240-300,끝나다,1,evaluate
24,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,240-300,나타내다,1,apply
25,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,240-300,늘다,1,evaluate
26,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,240-300,다루다,1,apply
27,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,240-300,되다,1,create
28,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,240-300,배우다,1,understand
29,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,240-300,불다,1,unknown
30,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,240-300,쓸다,1,unknown
31,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,240-300,오다,1,unknown
32,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,240-300,주어지다,1,understand
33,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,240-300,줍다,1,apply
34,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,240-300,크다,1,evaluate
35,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,240-300,하다,12,apply
36,http://ko.wikipedia.org/wiki/%ea%b4%84%ed%98%b8,240-300,해보다,2,apply
37,http://ko.wikipedia.org/wiki/%eb%8a%90%eb%82%8c%ed%91%9c,180-240,가다,2,unknown
38,http://ko.wikipedia.org/wiki/%eb%8a%90%eb%82%8c%ed%91%9c,180-240,끝나다,1,evaluate
39,http://ko.wikipedia.org/wiki/%eb%8a%90%eb%82%8c%ed%91%9c,180-240,나오다,2,unknown
40,http://ko.wikipedia.org/wiki/%eb%8a%90%eb%82%8c%ed%91%9c,180-240,누르다,1,apply
41,http://ko.wikipedia.org/wiki/%eb%8a%90%eb%82%8c%ed%91%9c,180-240,되다,5,create
42,http://ko.wikipedia.org/wiki/%eb%8a%90%eb%82%8c%ed%91%9c,180-240,버리다,1,unknown
43,http://ko.wikipedia.org/wiki/%eb%8a%90%eb%82%8c%ed%91%9c,180-240,쓰다,1,apply
44,http://ko.wikipedia.org/wiki/%eb%8a%90%eb%82%8c%ed%91%9c,180-240,오다,2,unknown
45,http://ko.wikipedia.org/wiki/%eb%8a%90%eb%82%8c%ed%91%9c,180-240,이다,1,unknown
46,http://ko.wikipedia.org/wiki/%eb%8a%90%eb%82%8c%ed%91%9c,180-240,자다,1,understand
47,http://ko.wikipedia.org/wiki/%eb%8a%90%eb%82%8c%ed%91%9c,180-240,줄어들다,1,unknown
48,http://ko.wikipedia.org/wiki/%eb%8a%90%eb%82%8c%ed%91%9c,180-240,틀다,1,unknown
49,http://ko.wikipedia.org/wiki/%eb%8a%90%eb%82%8c%ed%91%9c,180-240,하다,7,apply
50,http://ko.wikipedia.org/wiki/%eb%8a%90%eb%82%8c%ed%91%9c,180-240,해보다,1,apply
51,http://ko.wikipedia.org/wiki/%eb%94%b0%ec%98%b4%ed%91%9c,120-180,끝나다,1,evaluate
52,http://ko.wikipedia.org/wiki/%eb%94%b0%ec%98%b4%ed%91%9c,120-180,나다,1,unknown
