title,word,start_time,end_time
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,in this video we will learn about what,0,60
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,is the set in Python how we can create,0,60
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,we will work around its operations using,0,60
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,its built-in methods python set,0,60
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,basically part of collections in Python,0,60
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,okay that means list tuples dictionary,0,60
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,and set are the four built-in data types,0,60
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,in Python which are used to store,0,60
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,collections of data okay whenever you,0,60
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,create a set the items are are placed,0,60
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,inside curly braces and they are,0,60
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,separated by comma python set unordered,0,60
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,and unchangeable okay unchangeable but,0,60
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,you can add a new item to an already,0,60
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,credit set with that you can also remove,0,60
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,an item from a set okay and remember,0,60
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,that duplicate values aren't allowed in,0,60
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,a set if you will add duplicate values,0,60
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,and print it only a single value will,0,60
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,get printed let's see,0,60
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,at first we will create a setting python,0,60
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,I told you to create a set the elements,0,60
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,are placed inside curly brackets which,0,60
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,are separated by comma okay so let's see,0,60
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,how to create a set,0,60
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,hey spychom let us create a new project,60,120
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,file new project,60,120
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,click on create,60,120
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,we have created a set right click and,60,120
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,create a new file python file demo press,60,120
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,enter it will convert to demo.pa that,60,120
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,that is our python file,60,120
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,our first example is how we can create a,60,120
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,set in Python,60,120
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,okay at first take a set object you can,60,120
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,add any name for this,60,120
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,curly braces I told you and just add,60,120
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,values in it,60,120
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,so herein we added five items in our set,60,120
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,separated by comma and enclosed by curly,60,120
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,brackets I told you I'll print it easily,60,120
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,using this print method,60,120
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,that's it you have created your first,60,120
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,set in Python right click and run here,60,120
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,it is we have printed it,60,120
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,okay so I told you that,60,120
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,python set are an ordered that means the,120,180
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,items will appear in a random order okay,120,180
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,so with that guys we will work around,120,180
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,all these examples that will complete,120,180
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,your python side concept,120,180
Python Sets Tutorial | Tutorial for Beginners  | Lecture 21 | Amit Thinks,from scratch to the end let's begin,120,180
