segment,word,count,bloom_stage
0,기다,8,unknown
0,나서다,16,unknown
0,드리다,16,unknown
0,따라오다,8,unknown
0,믿다,8,unknown
0,보여주다,8,unknown
0,보이다,8,unknown
0,뽑다,8,unknown
0,쉬다,16,unknown
0,싶다,16,unknown
0,쓸다,8,unknown
0,않다,8,unknown
0,이다,8,unknown
0,풀다,8,unknown
0,해주다,8,unknown
60,가져가다,6,unknown
60,해주다,6,unknown
120,가다,7,unknown
120,감싸다,7,unknown
120,겁니다,7,unknown
120,열다,7,unknown
180,감싸다,10,unknown
180,나서다,10,unknown
180,두다,20,unknown
180,들다,20,unknown
180,만나다,10,unknown
180,쉬다,10,unknown
180,오다,20,unknown
180,자르다,10,unknown
180,줄다,10,unknown
180,펴다,10,unknown
240,놓다,5,unknown
240,싶다,5,unknown
240,얻다,5,unknown
240,잡다,5,unknown
240,적히다,5,unknown
240,지다,5,unknown
240,지키다,5,unknown
240,해주다,5,unknown
300,넘다,2,unknown
300,들다,4,unknown
300,모르다,2,unknown
300,쉬다,2,unknown
300,읽히다,2,unknown
300,지키다,2,unknown
300,키우다,4,unknown
360,가다,8,unknown
360,겠다,8,unknown
360,나서다,8,unknown
360,닫다,8,unknown
360,들어서다,16,unknown
360,바꾸다,24,unknown
360,붙다,8,unknown
360,싶다,32,unknown
360,이르다,16,unknown
360,자르다,8,unknown
360,접다,8,unknown
360,조르다,8,unknown
360,지다,8,unknown
360,해주다,8,unknown
420,가다,10,unknown
420,갈다,10,unknown
420,감싸다,20,unknown
420,나누다,10,unknown
420,바꾸다,10,unknown
420,버리다,10,unknown
420,줄다,10,unknown
480,가다,6,unknown
480,나누다,6,unknown
480,늙다,6,unknown
480,두다,6,unknown
480,따라가다,6,unknown
480,뜨다,6,unknown
480,버리다,6,unknown
480,않다,24,unknown
480,어르다,6,unknown
480,오다,18,unknown
480,지다,6,unknown
480,차다,12,unknown
480,펴다,6,unknown
540,가다,15,unknown
540,겁니다,5,unknown
540,두다,5,unknown
540,들어서다,5,unknown
540,써다,5,unknown
540,않다,10,unknown
540,이다,5,unknown
540,차다,5,unknown
540,틀다,5,unknown
540,틀리다,5,unknown
600,가지다,10,unknown
600,겁니다,10,unknown
600,나서다,10,unknown
600,들다,10,unknown
600,먹다,10,unknown
600,바꾸다,20,unknown
600,비다,10,unknown
600,싸다,10,unknown
600,않다,10,unknown
600,오다,20,unknown
600,이르다,10,unknown
600,채다,10,unknown
600,해봤다,10,unknown
660,겁니다,7,unknown
660,두다,7,unknown
660,드리다,7,unknown
660,들어서다,7,unknown
660,멈추다,7,unknown
660,못,7,unknown
660,버리다,7,unknown
660,않다,14,unknown
660,이다,7,unknown
660,잃다,14,unknown
660,적히다,14,unknown
660,줄이다,7,unknown
660,차다,7,unknown
720,가다,4,unknown
720,감싸다,4,unknown
720,남다,4,unknown
720,넘어가다,4,unknown
720,말다,4,unknown
720,부르다,4,unknown
720,이다,4,unknown
720,일어서다,4,unknown
720,적히다,4,unknown
720,찾다,4,unknown
720,치다,4,unknown
780,가다,10,unknown
780,들어서다,5,unknown
780,써다,5,unknown
780,쏘다,5,unknown
780,쓸다,5,unknown
780,않다,5,unknown
780,자르다,5,unknown
780,적히다,5,unknown
780,접다,5,unknown
780,줄다,5,unknown
780,찾다,5,unknown
840,만지다,5,unknown
840,싶다,5,unknown
840,않다,5,unknown
840,자르다,10,unknown
840,잘,5,unknown
840,잡다,5,unknown
840,해주다,5,unknown
900,겁니다,6,unknown
900,끄다,6,unknown
900,나누다,6,unknown
900,넘다,30,unknown
900,들다,12,unknown
900,따르다,6,unknown
900,붙이다,6,unknown
900,빼다,6,unknown
900,싶다,18,unknown
900,써다,6,unknown
900,쓸다,6,unknown
900,오가다,6,unknown
900,오다,6,unknown
900,이르다,18,unknown
900,줄다,48,unknown
900,지다,6,unknown
900,합치다,12,unknown
960,감사하다,9,unknown
960,닫다,9,unknown
960,돌아서다,9,unknown
960,들다,18,unknown
960,들어서다,9,unknown
960,묻다,9,unknown
960,바꾸다,9,unknown
960,쉬다,9,unknown
960,싶다,18,unknown
960,쏘다,9,unknown
960,열다,9,unknown
960,이다,9,unknown
960,집어넣다,9,unknown
1020,끄다,7,unknown
1020,나누다,7,unknown
1020,넘어가다,7,unknown
1020,담다,7,unknown
1020,드리다,7,unknown
1020,들다,7,unknown
1020,바꾸다,21,unknown
1020,바뀌다,7,unknown
1020,반짝이다,7,unknown
1020,뵈다,7,unknown
1020,쉬다,7,unknown
1020,싶다,14,unknown
1020,써다,7,unknown
1020,찾다,7,unknown
1080,가다,10,unknown
1080,나다,10,unknown
1080,두다,5,unknown
1080,들다,5,unknown
1080,들이다,5,unknown
1080,바꾸다,20,unknown
1080,않다,5,unknown
1080,지다,5,unknown
1080,찾다,10,unknown
1140,감싸다,7,unknown
1140,겁니다,7,unknown
1140,나다,7,unknown
1140,놓다,7,unknown
1140,돼다,7,unknown
1140,두다,7,unknown
1140,들다,7,unknown
1140,들이다,7,unknown
1140,싶다,14,unknown
1140,올리다,7,unknown
1140,잘,7,unknown
1140,잡다,14,unknown
1140,찍다,7,unknown
1140,해주다,7,unknown
1200,겁니다,7,unknown
1200,들어서다,14,unknown
1200,속이다,7,unknown
1200,오다,7,unknown
1200,찍다,7,unknown
1200,추다,7,unknown
1200,합치다,7,unknown
1260,가다,5,unknown
1260,감싸다,5,unknown
1260,물다,5,unknown
1260,바뀌다,5,unknown
1260,버리다,5,unknown
1260,여기다,5,unknown
1260,잡다,15,unknown
1260,해주다,5,unknown
1380,가다,28,unknown
1380,가보다,7,unknown
1380,돼다,7,unknown
1380,들다,21,unknown
1380,들이다,7,unknown
1380,떠오르다,7,unknown
1380,물어보다,7,unknown
1380,보이다,7,unknown
1380,빌다,7,unknown
1380,빌리다,7,unknown
1380,싸다,7,unknown
1380,써다,7,unknown
1380,이다,7,unknown
1380,집어넣다,7,unknown
1440,가지다,8,unknown
1440,대다,8,unknown
1440,드리다,8,unknown
1440,뜨다,8,unknown
1440,비다,8,unknown
1440,빌다,8,unknown
1440,섞다,8,unknown
1440,싶다,16,unknown
1440,일으키다,8,unknown
1500,드리다,6,unknown
1500,들다,6,unknown
1500,지다,6,unknown
1500,집어넣다,6,unknown
1500,찍다,6,unknown
1500,추다,6,unknown
1500,치다,6,unknown
1500,해주다,6,unknown
1560,갚다,9,unknown
